Distance_km,Avg_Speed_kmph,Number_of_Signals,Traffic_Level,Weather,Road_Type,Vehicle_Type,Day_of_Week,Time_of_Day,Travel_Time_Minutes
7.43,65.8,2,Medium,Rainy,Highway,Bike,Thursday,Night,13.4
26.81,22.0,13,Medium,Rainy,City Road,Car,Wednesday,Morning,89.1
2.93,15.3,8,High,Clear,City Road,Car,Tuesday,Morning,21.0
18.95,69.2,7,Low,Clear,Highway,Car,Wednesday,Morning,14.3
10.81,60.3,3,Low,Rainy,Highway,Bike,Monday,Morning,14.1
7.35,21.2,10,Low,Rainy,City Road,Bike,Saturday,Morning,28.8
7.87,36.1,5,Medium,Clear,Rural Road,Bus,Friday,Morning,16.7
9.31,21.7,7,Medium,Clear,City Road,Car,Sunday,Morning,32.0
6.9,8.0,11,High,Rainy,City Road,Bike,Monday,Afternoon,67.9
17.34,8.0,10,Medium,Rainy,City Road,Bus,Friday,Evening,147.8
8.87,72.2,4,Low,Clear,Highway,Bus,Thursday,Morning,14.9
16.0,37.3,4,High,Clear,Highway,Bus,Friday,Afternoon,37.4
7.94,17.5,5,High,Foggy,Rural Road,Bus,Sunday,Night,46.3
12.44,27.3,9,Low,Clear,City Road,Car,Wednesday,Morning,30.2
12.44,36.9,8,Medium,Foggy,Rural Road,Bike,Monday,Night,32.9
11.3,77.2,5,Low,Clear,Highway,Truck,Monday,Evening,15.7
22.19,37.4,16,Low,Clear,City Road,Bike,Thursday,Evening,38.4
23.4,38.3,14,Low,Clear,City Road,Car,Tuesday,Afternoon,42.8
16.84,9.3,9,High,Clear,City Road,Truck,Monday,Afternoon,123.3
19.8,28.9,9,Medium,Foggy,Rural Road,Car,Tuesday,Afternoon,60.6
16.34,23.4,11,Medium,Clear,City Road,Car,Tuesday,Morning,50.7
8.52,8.0,6,Medium,Stormy,City Road,Car,Monday,Afternoon,82.4
10.33,77.0,3,Medium,Clear,Highway,Car,Thursday,Night,15.6
3.24,8.3,2,High,Foggy,Rural Road,Car,Friday,Morning,41.6
6.27,37.5,6,High,Foggy,Highway,Car,Wednesday,Evening,27.9
4.81,45.1,4,Medium,Rainy,Highway,Truck,Monday,Evening,19.3
7.31,17.4,8,Medium,Clear,City Road,Car,Friday,Morning,35.0
12.99,8.0,7,High,Rainy,Rural Road,Bike,Monday,Morning,112.3
8.34,27.1,6,Medium,Clear,City Road,Bus,Saturday,Evening,27.2
17.79,8.0,11,High,Stormy,City Road,Bus,Wednesday,Morning,168.4
6.41,57.9,5,Low,Clear,Rural Road,Car,Wednesday,Night,7.0
15.59,8.0,12,High,Clear,City Road,Car,Tuesday,Morning,127.7
6.09,24.3,7,Medium,Clear,City Road,Bike,Tuesday,Morning,21.9
21.34,70.3,8,Low,Rainy,Highway,Bus,Tuesday,Afternoon,29.0
6.41,11.0,9,Medium,Stormy,City Road,Bike,Thursday,Afternoon,52.3
14.35,21.5,11,Medium,Clear,City Road,Car,Tuesday,Morning,52.7
7.44,66.0,5,Low,Rainy,Highway,Bike,Friday,Evening,7.3
25.33,60.2,10,Medium,Foggy,Highway,Bike,Tuesday,Afternoon,37.8
24.75,61.1,10,High,Clear,Highway,Bike,Thursday,Evening,40.0
14.09,40.4,14,Low,Clear,City Road,Bus,Thursday,Morning,34.2
13.94,45.1,7,Medium,Rainy,Highway,Bus,Friday,Morning,33.6
17.08,28.3,11,Medium,Rainy,Rural Road,Bike,Saturday,Morning,51.6
15.45,30.0,10,Low,Clear,City Road,Bike,Thursday,Morning,32.9
18.34,9.4,10,High,Foggy,City Road,Bike,Saturday,Night,134.6
6.32,13.4,8,High,Clear,City Road,Bike,Tuesday,Afternoon,43.9
11.3,70.3,5,Low,Foggy,Highway,Car,Saturday,Afternoon,20.6
7.76,8.0,11,High,Foggy,City Road,Bike,Wednesday,Evening,80.5
24.55,27.4,8,High,Foggy,Highway,Bike,Friday,Morning,67.7
5.28,57.5,4,Low,Clear,Rural Road,Car,Thursday,Evening,11.0
26.91,8.0,16,High,Clear,City Road,Car,Sunday,Evening,217.8
11.42,75.0,5,Low,Clear,Highway,Bike,Tuesday,Night,7.3
18.49,8.2,12,High,Clear,City Road,Bike,Thursday,Morning,149.9
8.3,8.7,9,Medium,Rainy,City Road,Car,Tuesday,Morning,69.2
5.02,68.6,4,Medium,Clear,Highway,Car,Friday,Night,14.4
24.02,32.7,17,Low,Clear,City Road,Car,Monday,Afternoon,53.3
14.79,18.1,7,High,Clear,Rural Road,Truck,Wednesday,Morning,62.7
5.56,69.9,2,Low,Clear,Highway,Bus,Monday,Evening,8.1
10.58,45.6,12,Low,Clear,City Road,Bike,Wednesday,Afternoon,18.5
10.14,34.3,8,Low,Rainy,City Road,Car,Thursday,Night,21.9
14.5,10.2,14,High,Rainy,City Road,Bike,Wednesday,Night,101.7
6.3,46.9,6,Low,Clear,Rural Road,Bike,Wednesday,Evening,7.5
5.49,39.1,5,High,Foggy,Highway,Truck,Tuesday,Morning,28.5
12.16,8.0,11,Medium,Foggy,City Road,Car,Saturday,Evening,108.1
6.52,68.3,0,Low,Clear,Highway,Car,Saturday,Morning,3.9
24.43,74.0,8,Low,Rainy,Highway,Bike,Thursday,Night,18.8
17.53,70.6,8,Low,Clear,Highway,Car,Monday,Evening,13.5
17.25,29.9,11,Medium,Clear,City Road,Bike,Monday,Afternoon,38.9
3.19,14.2,7,High,Clear,City Road,Bus,Friday,Night,28.4
8.49,38.3,10,Low,Clear,City Road,Car,Sunday,Evening,15.7
9.51,9.5,9,High,Foggy,City Road,Car,Sunday,Afternoon,83.9
5.93,16.9,6,Low,Foggy,City Road,Bike,Wednesday,Morning,29.5
15.48,8.0,13,High,Foggy,City Road,Bus,Thursday,Evening,142.9
14.35,8.0,12,High,Rainy,City Road,Car,Tuesday,Afternoon,127.7
16.87,8.0,12,High,Rainy,City Road,Car,Monday,Morning,143.8
19.59,8.2,14,Medium,Stormy,City Road,Bike,Saturday,Morning,159.2
19.05,26.6,9,High,Clear,Rural Road,Car,Wednesday,Evening,58.5
40.44,74.8,17,Low,Clear,Highway,Bus,Thursday,Night,46.0
11.1,28.2,10,Low,Rainy,City Road,Bike,Wednesday,Afternoon,26.4
10.05,64.6,7,Low,Clear,Highway,Car,Wednesday,Morning,12.3
15.37,22.7,9,Medium,Clear,City Road,Bus,Sunday,Evening,54.9
21.5,36.8,10,Medium,Clear,Rural Road,Bike,Saturday,Morning,40.1
4.16,57.9,2,Medium,Rainy,Highway,Car,Friday,Morning,17.7
7.06,9.5,7,High,Clear,City Road,Bike,Wednesday,Evening,59.0
8.02,50.1,7,Low,Clear,Rural Road,Truck,Saturday,Evening,15.6
11.73,29.3,7,Medium,Clear,Rural Road,Bike,Wednesday,Morning,28.4
8.52,43.9,2,Low,Clear,Rural Road,Car,Thursday,Morning,11.9
19.76,24.7,14,Low,Foggy,City Road,Bike,Tuesday,Morning,58.3
12.66,19.3,11,Medium,Clear,City Road,Car,Friday,Evening,44.3
10.51,30.9,4,High,Rainy,Highway,Bike,Monday,Evening,34.6
14.42,18.0,10,Medium,Rainy,City Road,Bike,Saturday,Evening,62.1
3.47,69.1,0,Low,Clear,Highway,Car,Friday,Morning,6.9
14.04,63.3,5,Medium,Foggy,Highway,Car,Monday,Night,26.6
6.63,23.9,8,Low,Rainy,City Road,Truck,Thursday,Morning,22.7
17.85,8.0,13,High,Rainy,City Road,Car,Tuesday,Night,148.1
3.82,36.8,8,Medium,Clear,City Road,Bus,Thursday,Night,19.8
14.95,33.5,10,Low,Clear,City Road,Bike,Monday,Afternoon,34.2
6.74,69.2,4,Low,Stormy,Highway,Bike,Saturday,Night,17.6
21.74,60.8,8,Low,Rainy,Highway,Car,Thursday,Evening,28.0
4.37,8.0,6,High,Stormy,City Road,Car,Wednesday,Night,58.5
11.49,50.9,3,Medium,Foggy,Highway,Car,Sunday,Morning,26.1
16.44,44.9,8,High,Clear,Highway,Bike,Friday,Morning,34.8
13.59,58.2,6,Medium,Rainy,Highway,Truck,Friday,Night,23.4
13.54,28.2,12,Medium,Clear,City Road,Bus,Tuesday,Night,44.6
5.25,58.9,2,Low,Rainy,Highway,Car,Thursday,Evening,14.8
5.05,64.8,3,High,Clear,Highway,Car,Friday,Afternoon,15.9
13.26,37.6,9,Low,Clear,City Road,Car,Sunday,Afternoon,27.9
12.15,67.8,4,Medium,Rainy,Highway,Truck,Friday,Afternoon,24.0
6.1,42.1,4,Medium,Rainy,Rural Road,Car,Tuesday,Afternoon,17.9
5.89,15.8,8,Medium,Rainy,City Road,Car,Friday,Evening,35.3
10.61,54.3,2,High,Clear,Highway,Bike,Monday,Night,17.7
9.02,56.0,4,Low,Clear,Rural Road,Bike,Wednesday,Afternoon,7.9
29.18,29.9,12,Medium,Stormy,Rural Road,Car,Sunday,Night,75.7
22.45,22.5,15,Medium,Clear,City Road,Bike,Saturday,Morning,69.7
17.49,62.2,6,Medium,Clear,Highway,Car,Sunday,Night,18.4
23.97,29.9,11,Low,Rainy,Rural Road,Car,Wednesday,Evening,59.9
7.69,79.5,4,Low,Clear,Highway,Car,Friday,Evening,6.6
8.36,18.8,9,Low,Rainy,City Road,Car,Friday,Afternoon,37.8
20.68,41.0,14,Low,Clear,City Road,Truck,Tuesday,Afternoon,36.8
11.47,56.8,3,Medium,Foggy,Highway,Bike,Sunday,Afternoon,22.5
11.87,18.8,9,Medium,Foggy,City Road,Bus,Sunday,Night,58.8
5.66,8.0,10,Medium,Stormy,City Road,Car,Monday,Morning,62.3
20.17,15.8,15,Medium,Rainy,City Road,Bike,Saturday,Evening,89.7
15.35,71.0,8,Medium,Clear,Highway,Truck,Thursday,Night,26.0
9.62,37.8,11,Low,Rainy,City Road,Car,Friday,Evening,27.2
8.39,25.6,2,Medium,Foggy,Rural Road,Truck,Thursday,Evening,35.1
21.95,70.7,7,Low,Rainy,Highway,Bike,Tuesday,Evening,25.8
7.74,31.5,4,Low,Rainy,Rural Road,Bike,Monday,Evening,22.6
4.67,34.1,7,Medium,Rainy,Rural Road,Car,Thursday,Evening,20.3
22.63,23.1,13,Medium,Rainy,City Road,Bike,Saturday,Night,66.1
22.88,65.3,10,Low,Rainy,Highway,Bike,Saturday,Evening,31.6
7.73,31.4,9,Medium,Clear,City Road,Truck,Tuesday,Night,26.4
32.29,45.5,14,Medium,Clear,Rural Road,Truck,Sunday,Evening,55.4
10.75,23.3,10,Medium,Rainy,City Road,Car,Wednesday,Night,38.9
7.78,66.1,2,Medium,Clear,Highway,Truck,Thursday,Night,17.2
15.08,21.9,3,Medium,Foggy,Rural Road,Bus,Wednesday,Morning,60.7
5.17,36.1,10,Low,Rainy,City Road,Bike,Thursday,Night,16.5
6.5,24.2,3,High,Clear,Rural Road,Car,Thursday,Evening,31.0
13.3,10.3,8,Medium,Foggy,City Road,Car,Friday,Afternoon,90.3
12.02,24.6,11,Medium,Rainy,City Road,Car,Thursday,Night,43.5
18.45,8.6,13,Medium,Rainy,City Road,Car,Thursday,Morning,140.7
5.63,24.2,9,Medium,Clear,City Road,Truck,Friday,Evening,24.3
29.29,46.0,13,Medium,Foggy,Highway,Car,Wednesday,Evening,56.7
8.93,43.6,4,Medium,Clear,Rural Road,Bike,Thursday,Night,13.4
11.78,8.0,9,High,Rainy,City Road,Bike,Monday,Evening,103.0
8.69,54.6,4,High,Clear,Highway,Bike,Sunday,Evening,15.3
5.15,31.0,5,Medium,Rainy,Rural Road,Car,Monday,Evening,22.8
11.08,60.3,2,Medium,Rainy,Highway,Bike,Sunday,Evening,20.4
16.32,21.5,12,High,Rainy,City Road,Bike,Saturday,Night,62.3
10.16,55.2,7,Low,Clear,Rural Road,Bike,Sunday,Night,10.6
6.92,8.0,10,High,Foggy,City Road,Car,Monday,Morning,72.3
18.79,50.5,9,Medium,Rainy,Highway,Bike,Tuesday,Evening,31.2
19.18,86.3,9,Low,Clear,Highway,Car,Monday,Afternoon,15.0
9.87,50.0,0,Low,Stormy,Highway,Bike,Wednesday,Morning,18.6
13.76,8.0,13,High,Rainy,City Road,Car,Sunday,Night,123.6
18.71,24.7,13,Low,Stormy,City Road,Car,Saturday,Night,58.0
16.22,65.5,9,Low,Stormy,Highway,Bus,Friday,Night,33.8
13.55,21.6,9,Low,Foggy,City Road,Car,Saturday,Afternoon,43.3
15.86,27.7,9,Low,Rainy,City Road,Truck,Monday,Afternoon,49.3
14.28,75.1,9,Low,Rainy,Highway,Bus,Saturday,Night,22.8
11.43,60.2,4,Medium,Clear,Highway,Car,Wednesday,Morning,18.0
5.56,25.0,7,Low,Clear,City Road,Car,Friday,Morning,16.6
6.34,8.0,9,High,Rainy,City Road,Car,Saturday,Afternoon,66.6
14.62,21.4,8,High,Clear,Rural Road,Truck,Friday,Evening,55.8
8.65,18.9,11,Medium,Foggy,City Road,Bike,Wednesday,Afternoon,36.4
14.33,34.6,11,Low,Clear,City Road,Car,Friday,Morning,27.1
5.48,24.3,6,Medium,Clear,City Road,Bike,Thursday,Evening,17.9
7.29,36.2,10,Low,Clear,City Road,Car,Friday,Night,18.9
10.16,42.9,7,Medium,Clear,Rural Road,Bike,Thursday,Afternoon,19.9
2.85,19.6,4,High,Clear,City Road,Bike,Wednesday,Afternoon,14.8
6.75,12.3,10,High,Clear,City Road,Car,Tuesday,Afternoon,47.1
7.83,41.0,0,High,Foggy,Highway,Bus,Wednesday,Afternoon,31.3
12.5,24.5,12,Low,Clear,City Road,Car,Saturday,Evening,36.0
9.82,29.9,8,Medium,Clear,City Road,Bike,Sunday,Afternoon,24.3
12.87,38.7,8,Medium,Clear,Rural Road,Bike,Monday,Evening,25.7
11.66,52.1,6,Medium,Clear,Highway,Truck,Tuesday,Morning,21.2
9.59,16.6,9,Medium,Clear,City Road,Car,Thursday,Evening,40.9
7.86,16.9,9,Low,Rainy,City Road,Truck,Friday,Morning,43.7
11.88,35.9,10,Low,Rainy,City Road,Car,Tuesday,Afternoon,29.5
21.52,20.4,15,Medium,Clear,City Road,Bus,Wednesday,Night,79.7
7.84,71.6,7,Low,Rainy,Highway,Car,Monday,Afternoon,17.4
28.64,75.6,9,Low,Clear,Highway,Bike,Monday,Evening,20.6
12.0,55.9,0,High,Clear,Highway,Car,Tuesday,Afternoon,22.6
17.95,15.8,8,High,Foggy,Rural Road,Truck,Saturday,Night,90.3
13.85,31.7,10,Medium,Clear,City Road,Truck,Sunday,Night,33.6
14.96,23.2,7,High,Foggy,Rural Road,Car,Thursday,Night,55.1
6.72,54.5,2,High,Clear,Highway,Bike,Tuesday,Afternoon,14.7
8.6,28.8,10,Low,Clear,City Road,Bike,Sunday,Afternoon,18.9
4.11,42.7,1,Medium,Clear,Rural Road,Car,Tuesday,Evening,7.7
10.03,32.0,10,Medium,Clear,City Road,Bike,Tuesday,Night,24.2
15.72,53.8,7,Low,Stormy,Highway,Bike,Monday,Evening,34.8
10.07,37.1,5,High,Clear,Highway,Bike,Wednesday,Evening,21.3
18.48,16.5,13,Medium,Foggy,City Road,Car,Saturday,Night,85.2
9.08,28.6,7,Medium,Foggy,Rural Road,Truck,Wednesday,Night,35.6
7.56,25.9,9,Low,Rainy,City Road,Car,Thursday,Afternoon,24.3
8.4,46.3,4,Low,Clear,Rural Road,Bike,Wednesday,Morning,5.9
16.55,12.3,13,High,Clear,City Road,Car,Sunday,Afternoon,97.4
25.3,29.6,16,Low,Clear,City Road,Car,Friday,Evening,55.7
30.23,35.7,18,Low,Rainy,City Road,Car,Friday,Night,63.7
15.62,56.3,5,Low,Clear,Rural Road,Car,Thursday,Afternoon,23.3
18.02,8.0,12,Medium,Foggy,City Road,Bike,Thursday,Morning,144.2
4.66,33.9,2,Medium,Rainy,Rural Road,Bike,Sunday,Afternoon,17.0
5.41,19.7,9,Medium,Clear,City Road,Bike,Friday,Evening,20.4
6.89,22.8,10,Low,Rainy,City Road,Bike,Saturday,Morning,19.4
22.23,42.9,13,Low,Clear,City Road,Car,Monday,Afternoon,32.0
22.05,8.0,13,High,Foggy,City Road,Car,Sunday,Afternoon,186.2
33.93,52.3,15,Medium,Clear,Rural Road,Bike,Sunday,Night,47.1
6.8,8.0,8,Medium,Stormy,City Road,Bike,Friday,Evening,62.0
10.7,36.3,7,Medium,Foggy,Highway,Bike,Sunday,Evening,28.9
4.09,35.4,5,High,Foggy,Highway,Car,Thursday,Evening,26.8
4.93,77.2,4,Low,Clear,Highway,Bus,Tuesday,Morning,13.7
9.57,59.9,5,Medium,Foggy,Highway,Car,Friday,Afternoon,20.5
6.97,42.9,7,Medium,Clear,Rural Road,Bike,Friday,Night,14.1
7.02,63.7,4,Low,Rainy,Highway,Car,Tuesday,Evening,14.8
8.04,47.9,3,High,Clear,Highway,Bike,Tuesday,Evening,20.4
23.59,73.8,8,Medium,Clear,Highway,Car,Wednesday,Night,27.0
19.87,39.9,7,High,Clear,Highway,Bike,Thursday,Evening,41.0
6.3,8.0,8,High,Clear,City Road,Car,Tuesday,Evening,60.6
19.58,70.2,9,Medium,Clear,Highway,Bike,Saturday,Morning,22.7
7.29,8.0,6,High,Foggy,City Road,Car,Monday,Morning,71.2
4.62,69.6,2,Medium,Clear,Highway,Bike,Sunday,Morning,8.8
7.88,36.9,5,High,Rainy,Rural Road,Car,Friday,Afternoon,24.1
13.16,44.5,8,Low,Clear,Rural Road,Car,Wednesday,Evening,19.2
6.71,31.0,4,Medium,Rainy,Rural Road,Bike,Wednesday,Night,20.2
15.47,60.7,7,Medium,Rainy,Highway,Car,Friday,Afternoon,27.0
8.19,77.5,2,Low,Clear,Highway,Car,Monday,Evening,8.8
13.68,28.2,9,Medium,Rainy,City Road,Bus,Saturday,Night,47.9
6.26,8.0,8,High,Foggy,City Road,Bus,Thursday,Evening,71.5
11.28,17.8,11,Medium,Foggy,City Road,Bus,Tuesday,Afternoon,56.2
6.82,42.4,9,Low,Clear,City Road,Car,Sunday,Afternoon,13.5
9.73,43.4,4,Low,Clear,Rural Road,Bike,Friday,Evening,13.1
28.88,34.5,12,Low,Rainy,Rural Road,Bus,Tuesday,Afternoon,65.5
8.8,71.8,6,Low,Clear,Highway,Car,Friday,Morning,8.2
5.34,8.0,9,High,Foggy,City Road,Bike,Wednesday,Evening,57.0
11.68,65.2,5,Medium,Clear,Highway,Car,Saturday,Evening,20.4
11.79,18.6,9,Low,Foggy,City Road,Truck,Thursday,Afternoon,53.7
11.74,33.3,5,Medium,Clear,Rural Road,Bike,Sunday,Morning,22.3
14.99,56.3,7,Low,Clear,Rural Road,Car,Sunday,Night,17.8
8.57,23.9,9,Low,Stormy,City Road,Car,Monday,Afternoon,31.0
15.79,9.8,12,Medium,Foggy,City Road,Car,Wednesday,Evening,111.1
11.03,19.3,10,Medium,Foggy,City Road,Car,Tuesday,Morning,50.5
5.17,8.0,7,High,Stormy,City Road,Bike,Thursday,Afternoon,56.3
16.99,18.6,11,Medium,Clear,City Road,Bike,Tuesday,Evening,57.1
12.29,30.0,13,Medium,Clear,City Road,Bike,Thursday,Morning,29.9
15.34,23.8,11,High,Clear,City Road,Car,Tuesday,Afternoon,54.6
5.52,8.0,6,High,Clear,City Road,Bike,Friday,Evening,54.6
17.53,30.2,10,Medium,Clear,City Road,Car,Thursday,Night,42.5
33.0,36.7,12,High,Stormy,Highway,Car,Sunday,Afternoon,76.1
5.28,8.0,9,High,Clear,City Road,Truck,Sunday,Morning,55.9
18.86,19.3,8,High,Clear,Rural Road,Bike,Friday,Morning,74.0
12.32,38.6,13,Low,Clear,City Road,Bike,Thursday,Evening,22.4
11.1,24.2,10,Medium,Clear,City Road,Truck,Saturday,Evening,38.5
17.64,19.2,14,Medium,Clear,City Road,Car,Friday,Evening,64.1
16.62,57.4,6,Medium,Rainy,Highway,Truck,Monday,Afternoon,27.0
21.39,18.2,12,Medium,Clear,City Road,Bike,Wednesday,Morning,80.8
5.64,38.2,3,High,Rainy,Highway,Bike,Sunday,Morning,23.7
21.84,8.0,14,High,Foggy,City Road,Car,Wednesday,Morning,179.6
13.61,42.7,6,Low,Rainy,Rural Road,Car,Monday,Afternoon,21.7
4.16,26.5,8,Medium,Rainy,City Road,Car,Saturday,Afternoon,17.8
8.85,23.0,10,Medium,Clear,City Road,Car,Sunday,Morning,32.2
12.47,47.7,4,Low,Clear,Rural Road,Car,Friday,Evening,15.6
8.74,45.1,9,Low,Clear,City Road,Bike,Friday,Afternoon,14.5
10.35,26.2,9,Low,Stormy,City Road,Bike,Wednesday,Night,35.7
8.07,15.0,4,High,Rainy,Rural Road,Car,Wednesday,Afternoon,47.0
42.41,16.6,21,Medium,Clear,City Road,Bike,Sunday,Morning,167.5
15.92,8.0,11,High,Clear,City Road,Truck,Sunday,Evening,137.8
11.64,11.8,7,Medium,Foggy,City Road,Bike,Thursday,Evening,69.0
6.18,13.8,8,High,Rainy,City Road,Bus,Wednesday,Night,50.3
21.43,29.3,8,Medium,Rainy,Rural Road,Bike,Tuesday,Evening,52.7
14.81,51.5,7,High,Foggy,Highway,Car,Monday,Afternoon,34.0
6.54,60.5,4,Low,Rainy,Highway,Car,Thursday,Evening,10.8
6.57,19.3,5,Medium,Rainy,City Road,Truck,Thursday,Night,38.7
10.49,45.5,4,High,Clear,Highway,Bike,Friday,Evening,21.6
11.71,50.9,6,High,Clear,Highway,Bus,Saturday,Night,34.0
15.72,8.0,9,High,Stormy,City Road,Truck,Wednesday,Night,142.1
10.88,33.2,7,Low,Rainy,Rural Road,Car,Tuesday,Night,28.1
16.45,59.5,8,Medium,Clear,Highway,Car,Saturday,Evening,27.4
8.75,77.7,4,Low,Rainy,Highway,Bike,Saturday,Afternoon,9.7
10.89,38.4,9,Low,Clear,City Road,Car,Thursday,Night,19.1
21.85,23.4,10,Medium,Foggy,City Road,Bike,Monday,Night,66.5
16.85,81.0,8,Medium,Clear,Highway,Bus,Thursday,Afternoon,24.6
11.25,35.4,8,High,Foggy,Highway,Bike,Friday,Morning,36.8
13.34,20.8,13,High,Clear,City Road,Car,Sunday,Night,53.7
10.92,34.1,10,Medium,Clear,City Road,Bike,Thursday,Morning,23.8
4.96,32.0,2,High,Clear,Rural Road,Car,Thursday,Night,23.9
2.29,19.8,8,Low,Foggy,City Road,Bus,Wednesday,Morning,21.3
25.9,44.5,15,Low,Clear,City Road,Car,Wednesday,Night,38.6
6.79,67.9,4,Medium,Clear,Highway,Bus,Monday,Evening,18.1
9.12,8.0,10,High,Rainy,City Road,Car,Monday,Afternoon,87.9
38.42,29.6,20,Low,Clear,City Road,Car,Saturday,Morning,90.9
6.04,38.6,10,Medium,Clear,City Road,Bike,Wednesday,Night,20.8
10.58,35.6,7,Medium,Clear,Rural Road,Car,Saturday,Morning,24.6
22.63,26.0,13,Low,Foggy,City Road,Car,Wednesday,Morning,61.8
28.95,71.3,10,Medium,Clear,Highway,Bus,Sunday,Night,33.3
14.7,31.1,3,High,Clear,Rural Road,Bus,Tuesday,Evening,41.2
21.53,57.8,8,Medium,Clear,Highway,Car,Tuesday,Morning,29.2
9.99,75.7,3,Low,Clear,Highway,Bike,Friday,Afternoon,4.1
2.29,51.3,2,High,Clear,Highway,Bus,Saturday,Evening,13.6
20.5,26.3,13,Low,Clear,City Road,Bus,Tuesday,Evening,57.9
11.11,55.6,5,High,Clear,Highway,Car,Thursday,Afternoon,25.7
9.35,62.7,6,Low,Clear,Rural Road,Car,Tuesday,Afternoon,11.4
8.89,41.1,5,Medium,Foggy,Highway,Truck,Saturday,Morning,30.5
16.27,24.0,12,Medium,Clear,City Road,Car,Thursday,Morning,51.6
16.17,46.1,14,Low,Clear,City Road,Car,Friday,Night,31.7
11.29,9.9,7,High,Foggy,Rural Road,Bus,Tuesday,Morning,96.1
14.32,23.4,10,Low,Foggy,City Road,Car,Wednesday,Night,54.0
5.97,37.7,4,Low,Rainy,Rural Road,Bus,Friday,Morning,21.6
10.07,35.8,11,Low,Clear,City Road,Car,Wednesday,Night,20.0
6.13,70.3,3,Medium,Clear,Highway,Bike,Friday,Afternoon,8.0
6.01,28.6,2,High,Clear,Rural Road,Truck,Tuesday,Night,30.6
13.58,12.4,12,High,Clear,City Road,Truck,Wednesday,Night,83.3
11.63,42.3,12,Low,Clear,City Road,Truck,Monday,Afternoon,29.5
8.76,36.9,7,Medium,Rainy,Rural Road,Bus,Monday,Evening,28.1
9.79,41.6,12,Low,Clear,City Road,Car,Tuesday,Afternoon,18.7
14.21,28.7,14,Medium,Rainy,City Road,Truck,Thursday,Night,43.9
16.45,62.9,9,High,Clear,Highway,Truck,Tuesday,Night,29.1
15.03,27.1,12,Medium,Clear,City Road,Bike,Monday,Night,39.1
4.05,55.4,2,Medium,Rainy,Highway,Car,Sunday,Evening,15.6
2.76,15.9,4,Medium,Foggy,City Road,Car,Thursday,Afternoon,19.1
7.15,8.0,9,High,Clear,City Road,Bike,Saturday,Morning,67.9
2.78,30.8,4,Medium,Rainy,Rural Road,Bike,Saturday,Evening,10.4
24.26,26.7,15,Low,Clear,City Road,Car,Monday,Morning,59.7
9.61,24.4,7,Medium,Clear,City Road,Car,Friday,Evening,30.0
5.15,64.2,2,Low,Rainy,Highway,Bike,Sunday,Night,9.2
9.55,47.9,6,Low,Clear,Rural Road,Car,Thursday,Morning,15.0
3.53,72.1,1,Low,Clear,Highway,Truck,Sunday,Night,7.7
5.22,40.4,4,Medium,Clear,Rural Road,Car,Sunday,Evening,16.4
9.15,20.0,10,Medium,Clear,City Road,Car,Thursday,Morning,36.2
8.32,29.6,11,Low,Clear,City Road,Car,Monday,Evening,20.1
9.11,42.6,8,Medium,Clear,Rural Road,Bus,Friday,Morning,20.8
14.45,8.0,6,High,Stormy,Rural Road,Bus,Sunday,Evening,137.8
18.67,39.6,8,High,Rainy,Highway,Car,Friday,Evening,42.7
12.04,21.0,11,Medium,Clear,City Road,Car,Saturday,Evening,42.9
19.21,42.5,14,Low,Clear,City Road,Car,Thursday,Afternoon,36.9
8.43,8.0,10,High,Rainy,City Road,Car,Wednesday,Morning,85.8
20.63,59.2,11,Low,Clear,Rural Road,Bike,Sunday,Afternoon,24.7
12.14,52.7,3,Low,Clear,Rural Road,Car,Tuesday,Night,14.6
17.81,13.0,13,High,Rainy,City Road,Bike,Thursday,Night,98.7
8.52,17.4,10,Medium,Clear,City Road,Car,Tuesday,Morning,35.2
11.84,26.3,10,Medium,Clear,City Road,Car,Friday,Afternoon,34.6
31.06,29.4,13,Medium,Clear,City Road,Car,Sunday,Night,72.3
11.79,75.2,5,Medium,Clear,Highway,Car,Sunday,Afternoon,16.6
18.59,66.1,6,Low,Clear,Highway,Car,Tuesday,Morning,19.8
19.84,32.5,15,Low,Foggy,City Road,Car,Saturday,Night,50.9
15.67,79.7,7,Low,Clear,Highway,Car,Sunday,Afternoon,14.0
17.19,36.8,7,Low,Rainy,Rural Road,Truck,Saturday,Evening,37.4
8.54,12.5,6,High,Rainy,City Road,Car,Thursday,Afternoon,59.4
7.02,28.0,9,Low,Clear,City Road,Car,Tuesday,Evening,18.4
6.18,41.4,9,Medium,Clear,City Road,Car,Thursday,Afternoon,16.8
14.08,8.0,11,High,Clear,City Road,Bus,Saturday,Evening,124.1
11.61,47.7,6,High,Rainy,Highway,Truck,Friday,Afternoon,37.7
13.56,69.7,5,Medium,Clear,Highway,Bus,Wednesday,Evening,22.1
5.6,14.9,10,Medium,Rainy,City Road,Bike,Tuesday,Morning,33.9
7.65,8.0,10,High,Foggy,City Road,Bus,Friday,Morning,80.4
18.31,19.2,6,Medium,Rainy,Rural Road,Car,Wednesday,Evening,69.0
12.61,8.0,8,High,Stormy,City Road,Bus,Thursday,Morning,122.4
12.19,49.0,8,High,Rainy,Highway,Bus,Sunday,Night,38.0
10.03,48.4,6,High,Foggy,Highway,Car,Monday,Night,32.0
7.27,46.8,3,Low,Foggy,Rural Road,Car,Tuesday,Afternoon,14.4
